epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9802.16,0.90962,0.61117,1.2899,0.99742,0.99008,0.99492,0.79941,0.74932,0.38684,1.24664,0.000416,0.000416,0.000416
82,9921.92,0.93666,0.6218,1.29597,0.99601,0.99033,0.99496,0.80479,0.74093,0.38075,1.24512,0.0003962,0.0003962,0.0003962
83,10041,0.87143,0.55726,1.2499,0.99389,0.99008,0.99496,0.81572,0.71873,0.36929,1.22049,0.0003764,0.0003764,0.0003764
84,10161,0.87271,0.55807,1.25348,0.99403,0.99069,0.99494,0.81128,0.71446,0.37093,1.21927,0.0003566,0.0003566,0.0003566
85,10280.2,0.89919,0.60281,1.29314,0.99328,0.99206,0.99484,0.81906,0.70505,0.36899,1.20583,0.0003368,0.0003368,0.0003368
86,10399.5,0.88538,0.56641,1.27189,0.98792,0.99603,0.99463,0.8245,0.69649,0.36984,1.20129,0.000317,0.000317,0.000317
87,10519.2,0.845,0.55299,1.23515,0.99013,0.99565,0.99486,0.82726,0.67921,0.36351,1.19315,0.0002972,0.0002972,0.0002972
88,10639,0.8385,0.54433,1.24897,0.99379,0.99405,0.99494,0.83142,0.66165,0.35245,1.17697,0.0002774,0.0002774,0.0002774
89,10758.9,0.83918,0.53693,1.25289,0.99092,0.99206,0.99492,0.83358,0.66676,0.35216,1.18033,0.0002576,0.0002576,0.0002576
90,10879.1,0.86145,0.56135,1.26036,0.99222,0.99008,0.99457,0.83941,0.65109,0.35031,1.16868,0.0002378,0.0002378,0.0002378
91,10997.7,0.80827,0.53206,1.30579,0.99674,0.9881,0.99434,0.82,0.69569,0.38253,1.19754,0.000218,0.000218,0.000218
92,11116.7,0.74825,0.4493,1.26243,0.99588,0.99206,0.99468,0.83739,0.64808,0.38096,1.16445,0.0001982,0.0001982,0.0001982
93,11235.2,0.72756,0.40815,1.23954,0.99404,0.99334,0.99472,0.8376,0.64261,0.35938,1.15759,0.0001784,0.0001784,0.0001784
94,11353.9,0.70354,0.39075,1.20405,0.99341,0.99405,0.99488,0.84392,0.62873,0.35032,1.14145,0.0001586,0.0001586,0.0001586
95,11472.8,0.67693,0.37715,1.21056,0.99602,0.99203,0.99498,0.84761,0.6171,0.34428,1.13446,0.0001388,0.0001388,0.0001388
96,11592.6,0.65956,0.37182,1.1837,0.99846,0.99405,0.995,0.85203,0.60218,0.32987,1.11991,0.000119,0.000119,0.000119
97,11711.5,0.67817,0.37226,1.19658,0.99918,0.99405,0.995,0.8563,0.59406,0.32816,1.11276,9.92e-05,9.92e-05,9.92e-05
98,11830.8,0.66455,0.36139,1.18424,0.99971,0.99405,0.995,0.85975,0.58607,0.32332,1.10972,7.94e-05,7.94e-05,7.94e-05
99,11949.6,0.66068,0.36201,1.1983,0.99971,0.99405,0.995,0.85685,0.58353,0.32455,1.10817,5.96e-05,5.96e-05,5.96e-05
100,12069.2,0.67839,0.37029,1.19649,0.99925,0.99405,0.995,0.86107,0.58099,0.32395,1.10391,3.98e-05,3.98e-05,3.98e-05
