epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6786.15,1.2135,0.85029,1.38535,0.98587,0.96904,0.99373,0.68525,1.07568,0.50697,1.22426,0.000989267,0.000989267,0.000989267
78,6880.25,1.18443,0.81371,1.35774,0.98007,0.97562,0.9928,0.65749,1.17718,0.49679,1.27661,0.000968543,0.000968543,0.000968543
79,6970.92,1.19317,0.82759,1.36394,0.99199,0.98312,0.99404,0.71396,1.01376,0.45338,1.1821,0.000947837,0.000947837,0.000947837
80,7060.85,1.203,0.84524,1.37557,0.98055,0.97619,0.99325,0.7123,1.0153,0.49344,1.18825,0.000927159,0.000927159,0.000927159
81,7147.99,1.17772,0.82486,1.36269,0.99075,0.99008,0.99488,0.71501,1.02105,0.46291,1.18059,0.000906517,0.000906517,0.000906517
82,7236.33,1.13204,0.79052,1.33332,0.97633,0.98413,0.99248,0.71247,1.00203,0.49736,1.17627,0.00088592,0.00088592,0.00088592
83,7321.02,1.18181,0.79498,1.35348,0.97742,0.98611,0.99385,0.70711,0.99184,0.48928,1.16418,0.000865378,0.000865378,0.000865378
84,7405.74,1.15459,0.80486,1.33318,0.98687,0.98413,0.99432,0.71656,0.9831,0.46972,1.15967,0.000844899,0.000844899,0.000844899
85,7492.93,1.14882,0.80584,1.32565,0.98614,0.99405,0.99458,0.72899,0.99854,0.44516,1.16072,0.000824492,0.000824492,0.000824492
86,7580.63,1.1621,0.79655,1.34394,0.98753,0.99008,0.99452,0.70922,1.04949,0.46568,1.19397,0.000804167,0.000804167,0.000804167
87,7668.57,1.12357,0.76924,1.30687,0.98028,0.98652,0.99363,0.72016,0.99543,0.4674,1.17136,0.000783933,0.000783933,0.000783933
88,7753.35,1.13601,0.78867,1.3239,0.98128,0.99206,0.99414,0.73426,0.94856,0.44242,1.13795,0.000763797,0.000763797,0.000763797
89,7846.55,1.13992,0.78942,1.32108,0.98281,0.99405,0.99437,0.71623,0.98862,0.43545,1.16403,0.000743769,0.000743769,0.000743769
90,7932.68,1.15514,0.80725,1.3416,0.98599,0.99008,0.99476,0.72858,0.96552,0.43219,1.1531,0.000723859,0.000723859,0.000723859
91,8020.24,1.146,0.8024,1.34819,0.99145,0.99405,0.99486,0.74499,0.91804,0.421,1.12209,0.000704073,0.000704073,0.000704073
92,8108.91,1.0972,0.72316,1.30166,0.99525,0.9881,0.99494,0.73609,0.95373,0.40657,1.13749,0.000684422,0.000684422,0.000684422
93,8194.59,1.10679,0.73566,1.30343,0.98044,0.99475,0.99472,0.74189,0.93295,0.40606,1.12194,0.000664914,0.000664914,0.000664914
94,8279.43,1.11119,0.73328,1.30056,0.98787,0.99008,0.99402,0.7467,0.92832,0.40789,1.12283,0.000645557,0.000645557,0.000645557
95,8366.55,1.1251,0.76131,1.31436,0.9934,0.9881,0.99414,0.72986,0.99,0.42286,1.15345,0.00062636,0.00062636,0.00062636
96,8450.94,1.0868,0.72602,1.29185,0.9878,0.99603,0.99486,0.75008,0.89686,0.40174,1.10822,0.000607331,0.000607331,0.000607331
97,8533.53,1.09584,0.7627,1.30942,0.99405,0.99522,0.99494,0.73517,0.95225,0.41131,1.13227,0.000588479,0.000588479,0.000588479
98,8624.46,1.13366,0.76293,1.3239,0.98922,0.99603,0.99462,0.74483,0.91664,0.40971,1.11845,0.000569811,0.000569811,0.000569811
99,8708.37,1.08808,0.74423,1.29838,0.99209,0.99489,0.99472,0.75915,0.88347,0.39734,1.09902,0.000551337,0.000551337,0.000551337
100,8791.02,1.10277,0.72876,1.30092,0.99403,0.99124,0.99482,0.73636,0.94702,0.40472,1.1246,0.000533064,0.000533064,0.000533064
101,8874.29,1.07142,0.72777,1.28494,0.98814,0.99159,0.99455,0.75317,0.8803,0.40854,1.09873,0.000515,0.000515,0.000515
102,8962.04,1.07412,0.71435,1.28713,0.98491,0.99603,0.99445,0.76308,0.87317,0.3921,1.08646,0.000497153,0.000497153,0.000497153
103,9045.63,1.08036,0.73169,1.29162,0.98816,0.99376,0.99472,0.77074,0.85009,0.38301,1.07532,0.000479531,0.000479531,0.000479531
104,9129.92,1.07437,0.73876,1.29221,0.99012,0.9946,0.99488,0.75429,0.87001,0.3826,1.08855,0.000462142,0.000462142,0.000462142
105,9218.22,1.09501,0.73999,1.30201,0.98899,0.9881,0.99458,0.7477,0.89467,0.40024,1.10678,0.000444994,0.000444994,0.000444994
106,9308.83,1.04857,0.70766,1.27749,0.98996,0.99603,0.99486,0.76193,0.87148,0.37521,1.09007,0.000428093,0.000428093,0.000428093
107,9397.05,1.08225,0.73423,1.30533,0.98976,0.99206,0.9949,0.77106,0.85244,0.37642,1.07584,0.000411447,0.000411447,0.000411447
108,9478.79,1.02692,0.69279,1.25242,0.99011,0.99348,0.99484,0.78097,0.82514,0.37072,1.06045,0.000395064,0.000395064,0.000395064
109,9562.15,1.07759,0.70448,1.28659,0.99523,0.99206,0.99494,0.77814,0.82136,0.36647,1.06263,0.00037895,0.00037895,0.00037895
110,9645.24,1.07556,0.71621,1.28813,0.99394,0.99603,0.99498,0.77213,0.83634,0.36687,1.06661,0.000363114,0.000363114,0.000363114
111,9728.47,1.07027,0.71489,1.30685,0.99899,0.99206,0.995,0.73992,0.9549,0.39253,1.12269,0.000347561,0.000347561,0.000347561
112,9813.01,1.06677,0.71678,1.29256,1,0.99069,0.995,0.76871,0.85059,0.37251,1.07172,0.000332298,0.000332298,0.000332298
113,9897.96,1.02388,0.69669,1.25757,0.99784,0.99405,0.995,0.77782,0.81762,0.36176,1.05293,0.000317333,0.000317333,0.000317333
114,9980.88,1.05385,0.71506,1.28216,0.99938,0.99405,0.995,0.78935,0.79449,0.35478,1.03981,0.000302672,0.000302672,0.000302672
115,10068.9,1.04756,0.69899,1.25864,1,0.99373,0.995,0.78323,0.79542,0.35256,1.04303,0.000288321,0.000288321,0.000288321
116,10153.4,1.04472,0.70827,1.2659,0.99801,0.99351,0.995,0.78221,0.80973,0.35091,1.04695,0.000274287,0.000274287,0.000274287
